id,customer_id,call_start_time,call_duration_in_secs,call_charge_in_sgd
1,1,2011-01-01 07:07:00,120,0.2
2,1,2011-01-02 08:14:00,60,0.1
3,1,2011-01-03 09:21:00,180,0.3
4,1,2011-01-04 10:28:00,60,0.1
5,1,2011-01-05 11:35:00,120,0.2
6,1,2011-01-06 12:42:00,30,0.05
7,1,2011-01-07 13:49:00,30,0.05
8,2,2011-01-01 14:56:00,45,0.1
9,2,2011-01-02 15:03:00,90,0.1
10,2,2011-01-03 16:10:00,60,0.1
11,2,2011-01-04 17:17:00,30,0.1
12,2,2011-01-05 18:24:00,75,0.1
13,3,2010-12-30 19:31:00,500,1.0
14,3,2011-01-01 06:38:00,30,0.05
15,3,2011-01-02 07:45:00,30,0.05
16,3,2011-01-03 08:52:00,30,0.05
17,3,2011-01-04 09:59:00,30,0.05
18,3,2011-01-05 10:06:00,30,0.05
19,3,2011-01-06 11:13:00,30,0.05
20,3,2011-01-07 12:20:00,30,0.05
21,3,2011-01-09 13:27:00,400,0.8
22,4,2011-01-03 14:34:00,200,0.4
23,4,2011-01-06 15:41:00,100,0.2
24,5,2011-01-01 16:48:00,60,0.1
25,5,2011-01-01 17:55:00,60,0.1
26,5,2011-01-02 18:02:00,60,0.1
27,5,2011-01-03 19:09:00,60,0.1
28,5,2011-01-04 06:16:00,60,0.1
29,5,2011-01-05 07:23:00,60,0.1
30,5,2011-01-06 08:30:00,60,0.1
31,5,2011-01-07 09:37:00,60,0.1
32,6,2011-01-01 10:44:00,80,0.15
33,6,2011-01-02 11:51:00,80,0.15
34,6,2011-01-03 12:58:00,80,0.15
35,6,2011-01-05 13:05:00,80,0.15
36,6,2011-01-06 14:12:00,80,0.15
37,6,2011-01-07 15:19:00,80,0.15
38,7,2011-01-01 16:26:00,90,0.18
39,7,2011-01-02 17:33:00,90,0.18
40,7,2011-01-03 18:40:00,90,0.18
41,7,2011-01-04 19:47:00,90,0.18
42,7,2011-01-05 06:54:00,90,0.18
43,7,2011-01-06 07:01:00,90,0.18
44,7,2011-01-07 08:08:00,90,0.18
45,8,2010-12-31 09:15:00,150,0.3
46,8,2011-01-08 10:22:00,200,0.4
47,8,2011-01-15 11:29:00,100,0.2
48,9,2011-01-02 12:36:00,120,0.25
49,9,2011-01-04 13:43:00,120,0.25
50,9,2011-01-06 14:50:00,120,0.25
